sta_id,rec_id,dep_dt,ret_dt,sta_lat,sta_lon,
BUIS_28,VR2W-110207,10/23/2014 16:17,2/5/2015 11:28,17.78951,-64.63139,
BUIS_29,VR2W-110202,10/23/2014 15:02,2/5/2015 10:43,17.80089,-64.62901,
BUIS_30,VR2W-107320,10/24/2014 12:43,2/6/2015 12:45,17.79609,-64.62391,
BUIS_31,VR2W-103710,10/23/2014 16:25,2/5/2015 11:44,17.79300,-64.62905,
BUIS_32,VR2W-115498,10/23/2014 16:41,2/5/2015 11:51,17.79075,-64.62730,
BUIS_33,VR2W-103821,10/23/2014 16:12,2/5/2015 11:22,17.78783,-64.62873,
BUIS_34,VR2W-124586,10/22/2014 14:17,2/7/2015 12:56,17.77822,-64.63167,
BUIS_35,VR2W-107319,10/21/2014 15:45,2/5/2015 12:44,17.78454,-64.62530,
BUIS_36,VR2W-120967,10/23/2014 17:00,2/5/2015 12:31,17.78555,-64.61410,
BUIS_37,VR2W-102913,10/22/2014 11:45,2/3/2015 14:12,17.77585,-64.61475,
BUIS_38,VR2W-108145,10/21/2014 11:59,2/4/2015 9:46,17.77951,-64.61807,
BUIS_39,VR2W-114124,10/22/2014 10:15,2/3/2015 11:33,17.78141,-64.60261,
BUIS_40,VR2W-124584,10/27/2014 11:16,2/7/2015 10:59,17.79670,-64.63983,
BUIS_41,VR2W-108146,10/27/2014 13:25,2/6/2015 15:12,17.78724,-64.63976,
BUIS_42,VR2W-102916,10/22/2014 10:52,2/3/2015 12:02,17.78282,-64.60882,
BUIS_43,VR2W-124588,10/22/2014 9:48,2/3/2015 11:09,17.77423,-64.60254,
BUIS_44,VR2W-120273,10/22/2014 13:50,2/4/2015 10:11,17.78125,-64.62357,
BUIS_45,VR2W-102914,10/22/2014 13:22,2/4/2015 10:38,17.77962,-64.62423,
BUIS_46,VR2W-124589,10/22/2014 12:57,2/4/2015 12:18,17.77813,-64.62523,
BUIS_47,VR2W-124582,10/27/2014 10:02,2/7/2015 13:40,17.78033,-64.64191,
BUIS_48,VR2W-103707,10/27/2014 13:47,2/7/2015 11:21,17.78682,-64.64481,
BUIS_49,VR2W-110209,10/22/2014 11:20,2/3/2015 13:47,17.78058,-64.61318,
BUIS_50,VR2W-120272,10/24/2014 13:30,2/6/2015 12:11,17.79328,-64.62435,
BUIS_51,VR2W-115500,10/24/2014 13:03,2/6/2015 12:29,17.79450,-64.62527,
BUIS_52,VR2W-108147,10/24/2014 12:21,2/6/2015 13:08,17.79881,-64.62295,
BUIS_01,VR2W-107320,2/6/2015 14:59,7/1/2015 12:36,17.78976,-64.64280,
BUIS_02,VR2W-108147,2/6/2015 14:37,6/30/2015 9:31,17.79901,-64.63578,
BUIS_03,VR2W-120967,2/5/2015 15:23,7/6/2015 11:57,17.79241,-64.63223,
BUIS_04,VR2W-110208,2/6/2015 15:40,7/7/2015 10:35,17.78382,-64.63187,
BUIS_05,VR2W-115501,2/4/2015 12:55,6/30/2015 15:46,17.77670,-64.62232,
BUIS_06,VR2W-115503,2/5/2015 15:40,7/2/2015 10:43,17.79064,-64.62226,
BUIS_07,VR2W-115504,2/5/2015 10:39,7/6/2015 11:36,17.80190,-64.62100,
BUIS_08,VR2W-124583,2/4/2015 14:51,7/7/2015 14:38,17.78226,-64.61987,
BUIS_09,VR2W-110207,2/5/2015 16:22,7/6/2015 11:06,17.78395,-64.61938,
BUIS_10,VR2W-120273,2/4/2015 14:22,7/7/2015 14:15,17.78246,-64.61790,
BUIS_11,VR2W-103821,2/5/2015 16:18,7/2/2015 10:03,17.78422,-64.61740,
BUIS_12,VR2W-107319,2/5/2015 15:54,7/6/2015 11:23,17.79200,-64.61590,
BUIS_13,VR2W-124589,2/4/2015 13:58,7/7/2015 13:44,17.78352,-64.61468,
BUIS_14,VR2W-102914,2/4/2015 13:32,7/7/2015 13:19,17.78485,-64.61161,
BUIS_15,VR2W-103710,2/5/2015 16:02,7/2/2015 10:23,17.78778,-64.60996,
BUIS_16,VR2W-114124,2/3/2015 13:37,7/8/2015 10:08,17.77853,-64.60758,
BUIS_17,VR2W-115502,2/5/2015 10:19,7/8/2015 12:36,17.79400,-64.60480,
BUIS_18,VR2W-110209,2/4/2015 11:14,7/7/2015 11:20,17.78254,-64.62299,
BUIS_19,VR2W-104623,2/5/2015 15:48,7/2/2015 10:33,17.78994,-64.61571,
BUIS_20,VR2W-108146,2/7/2015 10:27,6/29/2015 12:31,17.80537,-64.63568,
BUIS_21,VR2W-104621,2/7/2015 10:48,7/1/2015 12:00,17.79442,-64.64261,
BUIS_22,VR2W-119925,2/6/2015 10:34,6/29/2015 14:53,17.78970,-64.64665,
BUIS_23,VR2W-110202,2/6/2015 10:04,6/29/2015 15:20,17.78490,-64.65096,
BUIS_24,VR2W-115500,2/6/2015 13:46,7/1/2015 12:23,17.79290,-64.63997,
BUIS_25,VR2W-124584,2/7/2015 14:08,6/29/2015 15:52,17.78337,-64.64498,
BUIS_26,VR2W-103707,2/7/2015 13:35,7/7/2015 10:11,17.78245,-64.63773,
BUIS_27,VR2W-115498,2/5/2015 16:40,7/2/2015 10:41,17.78686,-64.63492,
BUIS_28,VR2W-114123,2/5/2015 15:19,7/6/2015 12:22,17.78951,-64.63139,
BUIS_29,VR2W-102800,2/5/2015 10:56,7/6/2015 11:45,17.80089,-64.62901,
BUIS_30,VR2W-110206,2/6/2015 12:57,7/9/2015 10:55,17.79609,-64.62391,
